Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              60.000    -15.309          68.311    172.112
N                                  58.150     39.049          42.041    109.131
M                                  81.061    -10.933          63.505    164.660
k1                                131.133    -11.197          86.822    247.036
k2                                 65.442     24.444          42.322    115.679
tau1                               32.148     10.130          31.024     79.487
tau2                              107.308     12.587          67.102    188.986
tauAch                            110.024     33.369          51.760    159.806
tauNor                            110.361    -17.145          56.012    170.204
beta                               93.683     49.290          63.536    169.774
h0                                181.063     14.137          78.208    259.945
mNor                              127.304     14.280          73.482    214.431
mAch                              176.829     78.756          86.585    258.070
