Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             159.496     -2.172         177.803    448.884
N                                 182.710     76.171         133.081    353.667
M                                 234.484    -31.876         181.882    486.079
k1                                391.228    -20.346         230.628    682.093
k2                                169.839     46.844         123.334    335.145
tau1                               82.967     -0.451          89.285    218.544
tau2                              300.250     38.006         196.280    550.003
tauAch                            361.785    145.771         175.487    545.240
tauNor                            356.596    -64.788         181.979    543.569
beta                              296.033    172.967         202.031    526.351
h0                                583.495     29.600         235.879    828.105
mNor                              339.150     28.692         204.401    602.330
mAch                              477.646    228.625         251.054    725.970
