Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              55.939     -2.949          65.636    163.215
N                                  53.538     33.269          51.605    122.065
M                                  85.565    -10.655          68.988    179.677
k1                                147.651    -10.160          88.823    257.203
k2                                 63.815     18.573          48.916    131.828
tau1                               29.996      1.030          34.032     85.918
tau2                              113.740     15.538          74.515    209.571
tauAch                            134.645     53.378          66.674    203.251
tauNor                            128.951    -26.761          65.852    199.936
beta                              108.817     62.190          73.962    195.777
h0                                212.096     10.137          91.674    306.191
mNor                              126.336     11.864          83.298    229.727
mAch                              181.136     88.076          93.033    275.913
