Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              50.159      3.168          54.773    134.702
N                                  63.819     20.041          44.583    119.313
M                                  74.867     -8.054          57.523    154.154
k1                                119.213     -4.733          69.189    204.841
k2                                 57.598      9.837          38.196    108.175
tau1                               24.612     -1.408          25.948     67.906
tau2                               93.910     12.929          59.570    167.349
tauAch                            123.618     48.006          62.143    183.773
tauNor                            115.957    -22.496          57.260    175.804
beta                               97.728     58.711          63.526    170.787
h0                                191.770     11.636          82.458    272.709
mNor                              107.710      5.962          63.809    186.209
mAch                              148.193     66.492          73.896    222.983
