Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.010     -8.851         178.280    435.404
N                                 150.848     84.996         127.379    321.366
M                                 225.743    -29.290         170.058    471.438
k1                                379.170    -25.408         229.437    666.026
k2                                166.704     48.631         122.387    333.619
tau1                               78.974      4.440          83.144    216.322
tau2                              293.360     38.656         191.868    538.961
tauAch                            347.419    134.001         178.509    522.488
tauNor                            333.082    -67.101         169.089    518.560
beta                              283.596    164.100         190.513    509.421
h0                                560.042     30.490         239.311    797.736
mNor                              328.924     30.609         206.182    593.463
mAch                              471.069    225.077         247.765    714.401
