Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             110.967     -2.964         126.603    317.447
N                                 114.843     60.427          97.516    243.211
M                                 167.787    -20.699         135.849    351.435
k1                                283.901    -17.538         168.988    493.439
k2                                125.602     33.536          94.175    252.887
tau1                               58.241      1.166          66.961    164.090
tau2                              219.355     30.060         145.831    401.926
tauAch                            266.035    104.909         134.796    399.505
tauNor                            254.407    -51.466         128.140    392.147
beta                              214.823    124.343         145.240    383.031
h0                                419.770     21.926         176.540    602.021
mNor                              246.639     21.153         162.718    442.117
mAch                              350.000    166.998         182.083    530.912
