Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.081     -8.367         165.524    426.448
N                                 142.395     86.114         125.990    315.427
M                                 221.540    -27.879         172.748    464.259
k1                                379.073    -25.203         226.961    662.826
k2                                164.183     48.244         119.554    335.737
tau1                               78.439      3.757          86.740    219.375
tau2                              291.146     39.570         188.436    537.689
tauAch                            344.679    136.149         176.541    520.374
tauNor                            331.044    -67.053         171.993    514.276
beta                              280.211    160.758         188.996    504.490
h0                                548.380     26.930         238.908    788.400
mNor                              325.974     30.803         206.416    591.123
mAch                              467.753    225.786         238.911    710.363
