Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.169    -14.834         176.246    436.387
N                                 142.322     96.479         121.477    308.424
M                                 222.043    -28.636         178.931    461.102
k1                                384.248    -26.992         234.832    675.174
k2                                167.632     52.683         130.273    332.255
tau1                               80.482      4.575          93.647    217.807
tau2                              297.475     38.585         190.968    541.710
tauAch                            342.889    131.723         172.367    508.934
tauNor                            323.389    -64.396         168.686    507.906
beta                              274.329    154.340         186.572    497.548
h0                                539.057     19.424         225.057    774.905
mNor                              327.242     33.862         204.606    592.898
mAch                              473.664    229.626         246.822    716.679
