Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             126.180      3.077         139.149    345.424
N                                 142.466     66.908         104.356    279.056
M                                 184.145    -26.263         152.465    386.777
k1                                305.167    -14.488         182.505    527.597
k2                                134.639     35.688          96.770    266.483
tau1                               63.352     -0.345          66.381    175.102
tau2                              236.937     31.255         155.128    432.737
tauAch                            291.466    117.062         148.452    440.630
tauNor                            286.302    -55.395         140.630    435.988
beta                              242.584    142.330         159.089    423.185
h0                                471.766     30.569         198.443    670.549
mNor                              272.939     24.046         165.551    472.631
mAch                              375.333    175.428         191.052    569.170
