Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.053     -4.464         169.579    423.490
N                                 151.408     81.029         123.973    321.668
M                                 222.373    -29.379         182.582    466.565
k1                                377.851    -23.631         229.967    657.749
k2                                163.934     47.369         127.052    334.247
tau1                               77.584      2.267          85.623    219.229
tau2                              291.637     39.271         189.680    536.211
tauAch                            348.036    138.914         172.097    525.308
tauNor                            337.680    -67.627         161.503    519.819
beta                              283.741    163.445         199.298    506.967
h0                                553.176     30.018         245.526    795.102
mNor                              327.640     29.681         206.003    587.673
mAch                              463.814    223.178         241.799    705.660
