Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.428     -2.223         174.206    446.426
N                                 183.806     73.021         136.508    357.160
M                                 233.663    -32.151         185.986    484.804
k1                                391.388    -20.911         229.160    681.721
k2                                169.043     47.339         124.726    335.318
tau1                               82.481     -0.864          85.881    218.845
tau2                              300.797     38.005         196.870    550.763
tauAch                            361.241    145.939         185.060    544.574
tauNor                            358.089    -63.484         172.223    543.404
beta                              295.376    172.142         192.921    525.046
h0                                581.658     29.321         244.598    826.394
mNor                              338.463     29.222         215.572    601.820
mAch                              476.221    229.304         249.291    725.317
