Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             137.513     -3.638         157.097    392.611
N                                 139.691     75.803         116.859    299.164
M                                 207.182    -26.528         165.912    434.225
k1                                353.073    -22.014         211.536    613.016
k2                                153.882     43.096         120.854    313.223
tau1                               72.217      1.566          82.371    204.921
tau2                              272.664     36.722         173.516    500.143
tauAch                            326.534    130.487         170.615    491.895
tauNor                            315.053    -63.997         154.938    484.882
beta                              264.807    152.508         175.982    472.963
h0                                515.482     27.288         235.765    741.885
mNor                              305.277     27.158         194.342    548.193
mAch                              432.488    208.094         219.588    657.881
