Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.572     -2.897         171.466    427.163
N                                 155.023     82.023         128.989    326.588
M                                 225.918    -28.071         176.535    471.918
k1                                384.117    -23.242         232.137    665.764
k2                                168.108     45.784         127.471    339.585
tau1                               79.022      0.950          84.441    222.016
tau2                              296.654     39.486         197.384    542.452
tauAch                            356.355    143.154         180.643    535.723
tauNor                            343.508    -69.549         167.145    527.789
beta                              288.649    166.931         197.234    514.703
h0                                561.739     29.281         245.429    807.723
mNor                              332.056     28.680         207.228    595.195
mAch                              469.493    225.059         242.977    713.603
