Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.704     -2.118         173.235    434.191
N                                 160.311     84.067         129.294    331.245
M                                 229.249    -27.987         175.575    477.428
k1                                389.294    -22.251         226.656    674.282
k2                                170.787     44.881         127.535    341.062
tau1                               80.752     -0.408          89.664    222.177
tau2                              300.185     39.337         188.717    547.479
tauAch                            362.507    146.056         176.425    543.991
tauNor                            348.958    -69.903         174.213    535.477
beta                              292.254    169.527         185.156    520.850
h0                                570.226     27.083         247.988    818.467
mNor                              335.354     28.217         220.180    600.276
mAch                              474.996    226.682         249.687    721.005
