Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                               8.639     -0.642           8.513     23.304
N                                 607.329    588.669        1119.659   2665.450
M                                  24.304     14.074          24.958     61.620
k1                                 18.161      0.577          10.754     31.298
k2                                  8.654     -2.033           5.791     16.228
tau1                                3.331      0.132           2.957      7.691
tau2                               12.879     -1.017           9.126     24.649
tauAch                             18.313     -5.586           9.964     29.692
tauNor                           6267.538   6252.447       11962.569  27945.748
beta                               17.443    -11.907          11.807     31.036
h0                                 73.283    -41.769          68.962    174.534
mNor                               18.016     -0.964           9.489     28.355
mAch                               50.024    -33.529          48.805    123.942
