Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             152.467     -6.276         177.878    439.724
N                                 150.728     90.920         127.703    323.549
M                                 228.239    -27.864         178.738    474.942
k1                                389.880    -23.132         229.685    679.819
k2                                168.714     46.613         126.243    338.587
tau1                               81.746      0.350          85.290    220.340
tau2                              298.886     39.136         192.352    547.920
tauAch                            356.990    142.665         172.798    536.559
tauNor                            342.874    -68.296         166.710    529.954
beta                              287.004    165.592         190.169    515.963
h0                                563.661     22.301         244.835    808.898
mNor                              332.219     29.820         218.190    600.190
mAch                              477.500    228.500         244.572    723.861
