Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             111.101     -9.727         129.086    327.121
N                                 104.381     68.783          96.146    237.763
M                                 168.651    -22.017         132.630    353.788
k1                                291.599    -21.566         174.379    511.431
k2                                126.568     39.916         100.709    258.875
tau1                               59.725      4.286          68.780    169.481
tau2                              225.628     30.740         143.570    414.858
tauAch                            261.683    101.249         128.600    393.269
tauNor                            249.050    -51.012         130.623    389.989
beta                              212.124    119.800         143.457    383.420
h0                                414.458     19.365         184.237    597.378
mNor                              250.307     25.530         158.849    455.279
mAch                              360.505    175.945         183.040    547.764
