Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              32.052     -8.693          35.821     89.577
N                                  33.240     23.024          23.102     59.291
M                                  40.108     -7.864          30.113     82.670
k1                                 68.946     -6.316          45.020    128.064
k2                                 35.817     15.753          21.490     60.365
tau1                               16.075      6.262          16.593     42.937
tau2                               58.055      6.107          35.109    100.013
tauAch                             54.256     15.320          26.030     80.205
tauNor                             55.608     -7.538          27.706     86.299
beta                               48.186     21.711          31.634     85.325
h0                                 85.519      7.526          38.449    127.755
mNor                               66.483      9.680          36.933    110.761
mAch                               88.582     43.244          44.429    131.771
