Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             117.428    -34.674         128.606    330.698
N                                 120.124     82.649          79.550    204.155
M                                 145.560    -30.058         114.003    302.102
k1                                231.094    -17.648         163.489    455.218
k2                                122.906     53.476          72.238    206.322
tau1                               54.965     27.260          60.785    146.257
tau2                              196.400     21.917         123.404    349.137
tauAch                            196.532     48.361          92.739    285.038
tauNor                            200.226    -21.218         101.075    313.026
beta                              166.480     76.794         116.718    300.851
h0                                314.560     29.085         144.331    461.091
mNor                              244.022     35.709         126.294    390.144
mAch                              323.063    148.360         153.965    471.781
