Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              95.451    -13.703         112.257    284.173
N                                  96.643     57.274          77.763    194.320
M                                 141.292    -20.434         107.607    293.248
k1                                228.614    -16.514         147.459    416.804
k2                                104.659     35.041          75.889    201.047
tau1                               50.036      9.856          53.979    132.978
tau2                              182.731     23.947         117.272    331.466
tauAch                            207.763     71.842          99.493    305.981
tauNor                            196.837    -35.584         101.894    311.985
beta                              171.478     96.632         114.199    309.891
h0                                340.199     22.732         144.670    480.992
mNor                              208.197     22.513         130.611    369.263
mAch                              299.134    139.840         143.811    446.871
