Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                               7.133     -1.347           7.160     18.299
N                                  11.861     -1.880           8.498     23.332
M                              160424310.290 -160424297.391   295624512.810 717439283.564
k1                                 13.667     -0.586           8.581     24.341
k2                                  5.718     -1.299           4.870     12.537
tau1                                2.558      0.706           2.123      5.836
tau2                               10.429     -1.369           7.877     21.701
tauAch                             16.776     -5.170          10.290     28.670
tauNor                             20.140      1.817           9.153     29.456
beta                           160424315.421 160424293.181   310936632.993 717439287.193
h0                                 27.443      0.688          12.177     40.635
mNor                               14.231     -1.497           7.408     22.951
mAch                               19.327     -7.859           9.798     29.032
