Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             126.260    -16.231         152.072    375.680
N                                 121.048     79.889         100.658    260.473
M                                 189.397    -25.810         149.784    393.068
k1                                317.847    -21.894         200.022    568.898
k2                                142.846     45.480          99.385    279.512
tau1                               68.160     10.965          73.134    184.697
tau2                              247.142     34.020         161.216    453.100
tauAch                            282.984    104.684         137.113    420.923
tauNor                            265.735    -50.865         146.710    424.627
beta                              231.342    129.012         158.224    419.947
h0                                454.036     24.409         185.551    649.930
mNor                              280.529     29.037         178.097    501.442
mAch                              406.474    193.520         207.088    607.670
