Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.386     -6.132         172.366    422.586
N                                 145.338     83.412         120.617    316.791
M                                 221.483    -27.518         174.983    463.878
k1                                377.293    -24.059         228.839    657.276
k2                                164.715     46.315         126.822    335.509
tau1                               77.779      3.136          90.207    219.139
tau2                              290.492     39.551         187.896    534.346
tauAch                            347.059    137.222         168.065    522.668
tauNor                            332.898    -67.627         166.115    514.993
beta                              281.316    161.888         187.480    504.704
h0                                549.340     28.862         232.459    789.697
mNor                              325.602     29.385         211.715    587.707
mAch                              465.221    223.239         241.572    705.670
