Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             157.183     -3.949         178.163    446.600
N                                 163.033     97.160         132.233    332.288
M                                 230.710    -31.986         176.408    482.164
k1                                389.572    -21.501         237.560    680.954
k2                                168.036     49.210         118.288    332.585
tau1                               82.179     -0.154          82.816    216.960
tau2                              299.442     37.752         198.229    550.194
tauAch                            358.042    143.187         182.256    539.305
tauNor                            349.300    -68.556         178.950    538.853
beta                              295.967    172.413         200.321    523.030
h0                                580.650     25.257         251.836    824.046
mNor                              338.953     31.811         209.182    599.956
mAch                              478.794    226.551         235.582    726.436
