Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.783     -9.504         172.872    436.362
N                                 140.581     93.250         124.793    316.035
M                                 224.393    -28.100         177.441    468.293
k1                                387.054    -24.987         244.559    677.531
k2                                166.057     49.186         127.868    336.416
tau1                               80.957      1.659          87.509    219.814
tau2                              297.907     38.874         195.975    545.913
tauAch                            349.480    138.690         176.941    525.009
tauNor                            334.922    -67.208         166.092    520.404
beta                              280.993    160.569         187.304    507.656
h0                                551.330     20.828         230.827    793.690
mNor                              328.552     31.621         210.125    596.841
mAch                              473.965    229.333         246.412    720.255
