Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             118.779     -8.545         147.833    349.913
N                                 114.196     70.771         102.641    256.148
M                                 180.394    -24.437         132.799    379.081
k1                                308.457    -21.221         186.391    541.803
k2                                133.388     41.540         102.165    272.708
tau1                               63.854      4.530          74.110    179.175
tau2                              238.742     32.606         156.626    439.959
tauAch                            279.199    108.563         139.033    421.153
tauNor                            268.282    -53.536         135.474    418.214
beta                              227.828    129.360         157.804    410.410
h0                                445.513     22.664         187.871    640.385
mNor                              266.645     26.929         162.832    482.794
mAch                              382.635    186.105         197.501    581.158
