Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.988    -11.315         176.259    438.521
N                                 140.961     94.026         125.464    314.230
M                                 224.062    -28.577         175.928    467.268
k1                                384.871    -25.290         230.175    676.432
k2                                166.279     50.283         122.497    334.050
tau1                               81.027      3.076          88.060    218.517
tau2                              297.335     38.812         192.694    543.746
tauAch                            347.019    135.750         173.441    519.618
tauNor                            331.226    -65.643         174.717    516.875
beta                              279.307    159.148         188.092    505.094
h0                                549.039     21.253         235.165    788.798
mNor                              328.272     32.309         201.304    595.342
mAch                              474.106    228.968         242.836    719.073
