Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              56.300     -0.304          63.031    156.816
N                                  60.376     39.377          38.880    105.933
M                                  76.072     -6.660          54.416    149.019
k1                                127.146     -1.209          80.528    225.063
k2                                 54.796      9.989          31.434     91.460
tau1                               31.524     -6.346          22.140     59.843
tau2                               94.741      8.020          58.920    168.129
tauAch                            117.163     49.618          56.285    172.578
tauNor                            111.378    -17.498          54.657    172.091
beta                               87.941     53.360          58.525    159.338
h0                                181.387     -7.895          72.429    254.393
mNor                              101.710      6.499          61.753    180.551
mAch                              150.310     66.501          74.164    224.919
