Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             151.158     -6.808         182.563    437.385
N                                 147.146     91.643         132.174    321.292
M                                 226.998    -27.445         170.046    472.637
k1                                390.232    -23.815         239.389    679.947
k2                                168.196     46.988         123.131    339.348
tau1                               81.434      0.175          87.802    220.776
tau2                              299.038     39.041         192.413    548.324
tauAch                            355.520    142.635         181.999    534.745
tauNor                            341.261    -68.695         172.130    527.864
beta                              285.482    164.310         196.011    513.989
h0                                560.108     21.098         239.134    805.347
mNor                              331.104     30.029         219.139    600.098
mAch                              476.533    229.081         255.193    723.519
