Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             157.789     -2.917         172.488    446.313
N                                 184.321     71.972         131.138    358.766
M                                 233.402    -32.292         183.588    484.119
k1                                390.900    -21.245         236.810    681.609
k2                                168.909     47.553         125.994    334.955
tau1                               82.332     -0.735          83.604    218.209
tau2                              300.391     38.003         204.819    550.449
tauAch                            360.546    145.136         182.539    543.228
tauNor                            356.278    -63.742         169.888    541.917
beta                              294.720    171.707         196.544    524.072
h0                                581.266     29.341         242.554    824.760
mNor                              337.937     29.451         213.210    601.490
mAch                              475.651    229.963         244.609    725.006
