Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             123.144    -14.333         135.903    350.806
N                                 116.416     77.716          99.494    246.758
M                                 178.786    -27.926         145.421    370.939
k1                                309.478    -21.573         187.902    541.220
k2                                136.167     45.487         102.115    266.521
tau1                               64.609      8.533          69.266    177.507
tau2                              238.999     34.519         158.726    438.627
tauAch                            275.325    101.554         129.879    408.725
tauNor                            258.352    -48.944         138.108    408.621
beta                              222.298    119.504         151.667    400.469
h0                                431.027     17.174         190.413    619.020
mNor                              266.019     32.835         171.827    478.981
mAch                              385.931    194.194         192.870    580.099
