Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              56.374      7.937          53.850    142.391
N                                 104.529     46.535          83.915    221.423
M                                  77.247    -17.235          63.368    167.986
k1                                111.113     -0.533          67.482    197.047
k2                                 50.686     13.062          35.816     97.409
tau1                               22.740     -2.326          22.092     57.784
tau2                               87.660      9.910          57.854    165.827
tauAch                            119.831     44.755          70.801    194.058
tauNor                            126.391    -21.567          63.896    193.741
beta                              130.262     88.906          94.976    244.786
h0                                289.063     67.293         163.874    485.705
mNor                              153.904     49.212          88.499    260.278
mAch                              146.197     58.116          73.655    221.259
