Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             160.454      9.267         169.730    424.290
N                                 191.262     66.181         120.793    352.390
M                                 228.352    -27.618         176.074    472.389
k1                                368.483    -12.952         218.794    634.417
k2                                169.843     37.034         112.876    323.484
tau1                               79.081     -0.263          85.576    215.486
tau2                              285.891     36.822         177.104    515.122
tauAch                            359.360    147.496         183.777    538.270
tauNor                            351.979    -65.220         161.553    530.561
beta                              293.465    174.866         197.360    515.532
h0                                571.357     42.578         238.989    814.278
mNor                              331.781     20.127         194.821    571.786
mAch                              454.508    203.805         230.781    682.568
