Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.338     -3.690         178.171    441.725
N                                 158.956     88.718         129.354    329.563
M                                 230.570    -28.519         181.123    479.034
k1                                392.140    -22.074         234.406    681.657
k2                                170.210     46.011         131.659    339.079
tau1                               82.224     -0.797          86.390    220.790
tau2                              301.086     38.724         197.347    550.212
tauAch                            361.267    145.816         180.830    542.757
tauNor                            348.928    -69.019         172.325    536.651
beta                              291.135    168.753         197.350    520.992
h0                                570.703     23.435         248.609    818.132
mNor                              335.386     28.868         207.822    602.280
mAch                              478.360    228.155         255.632    725.721
