Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.649     -9.926         178.203    436.716
N                                 140.257     93.360         124.703    315.661
M                                 224.222    -28.204         176.710    468.078
k1                                386.530    -25.087         226.506    677.255
k2                                166.058     49.434         121.671    335.997
tau1                               80.927      1.973          85.854    219.556
tau2                              297.725     38.908         201.644    545.464
tauAch                            348.891    138.024         173.878    523.952
tauNor                            334.124    -66.872         162.004    519.668
beta                              280.563    160.248         189.043    507.110
h0                                550.891     20.910         244.309    792.720
mNor                              328.360     31.778         206.836    596.530
mAch                              473.946    229.292         244.337    720.057
