Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              83.451    -11.020          97.840    244.122
N                                  79.801     53.072          71.919    171.867
M                                 124.026    -16.605          95.375    257.957
k1                                214.168    -17.125         128.168    377.914
k2                                 95.053     31.940          71.259    188.519
tau1                               44.559      5.258          48.949    123.917
tau2                              166.853     22.442         110.345    304.165
tauAch                            189.502     70.103          92.041    280.513
tauNor                            176.790    -35.716          94.350    280.829
beta                              153.208     84.989         104.775    277.577
h0                                299.617     13.672         129.503    430.695
mNor                              185.531     20.381         118.892    334.916
mAch                              267.567    130.088         141.725    403.548
