Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             141.606    -11.013         165.651    416.551
N                                 132.746     87.282         127.806    305.922
M                                 216.020    -27.801         172.357    453.781
k1                                374.738    -27.479         231.321    655.338
k2                                161.685     50.118         126.655    333.500
tau1                               76.126      4.289          83.145    217.900
tau2                              289.169     39.512         188.942    532.942
tauAch                            337.283    131.944         171.181    508.341
tauNor                            321.833    -66.659         167.019    502.326
beta                              272.931    154.570         191.398    493.071
h0                                532.830     24.369         227.194    769.233
mNor                              320.293     32.142         206.608    584.021
mAch                              461.182    225.529         246.537    702.331
