Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             128.977     -6.620         148.085    375.711
N                                 124.421     76.062         107.916    280.938
M                                 196.674    -24.776         150.415    413.086
k1                                338.801    -23.085         209.621    590.349
k2                                146.292     42.829         111.675    301.798
tau1                               69.021      2.425          81.984    196.997
tau2                              260.961     35.574         166.849    480.950
tauAch                            308.965    122.592         154.503    466.551
tauNor                            296.557    -61.248         149.102    459.563
beta                              250.224    143.128         170.202    449.854
h0                                487.840     23.663         215.316    703.736
mNor                              290.443     27.329         178.517    527.246
mAch                              415.777    201.883         220.374    633.216
