Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             151.482     -7.346         179.597    439.227
N                                 148.000     91.786         117.864    321.242
M                                 227.032    -28.045         176.641    472.887
k1                                389.218    -23.886         238.751    679.736
k2                                167.544     47.748         126.306    337.537
tau1                               81.490      0.612          86.490    219.756
tau2                              298.232     38.916         194.970    547.646
tauAch                            354.257    141.541         175.387    532.590
tauNor                            340.504    -67.902         180.006    527.265
beta                              285.128    164.156         196.076    513.437
h0                                560.144     21.255         240.181    804.350
mNor                              331.263     30.338         216.042    599.554
mAch                              476.393    228.853         242.734    723.222
