Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             136.515     -9.425         163.597    402.321
N                                 128.578     82.883         117.230    296.912
M                                 208.768    -26.859         160.685    439.129
k1                                360.388    -25.611         220.887    630.742
k2                                155.074     47.441         122.734    320.968
tau1                               73.586      3.793          84.662    209.715
tau2                              277.799     38.066         190.252    512.964
tauAch                            325.884    128.171         166.010    492.461
tauNor                            312.456    -64.295         160.279    486.549
beta                              264.456    150.548         181.997    477.116
h0                                516.595     24.495         217.986    745.218
mNor                              308.762     30.331         201.147    562.512
mAch                              443.969    216.374         224.549    676.298
