Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              73.353    -15.663          88.748    214.398
N                                  72.513     50.002          54.964    143.400
M                                 104.389    -15.601          78.783    214.653
k1                                179.318    -15.847         110.556    323.098
k2                                 83.811     31.687          56.876    156.066
tau1                               38.463      8.984          42.759    104.727
tau2                              142.651     18.583          93.426    256.117
tauAch                            153.895     51.439          71.426    223.778
tauNor                            145.890    -26.204          74.770    229.485
beta                              123.747     65.818          85.413    227.978
h0                                243.073     11.742         107.441    350.304
mNor                              161.486     20.418         101.550    283.886
mAch                              229.672    111.392         114.778    342.283
