Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.397     -9.787         169.306    422.057
N                                 134.795     87.939         130.708    311.681
M                                 219.429    -27.468         168.742    460.754
k1                                379.947    -27.031         225.663    664.225
k2                                163.185     49.227         130.919    337.856
tau1                               77.501      3.107          89.079    220.050
tau2                              292.323     39.874         196.134    539.702
tauAch                            343.512    135.619         173.577    518.961
tauNor                            328.565    -67.969         166.418    511.628
beta                              277.803    158.231         184.143    501.335
h0                                542.798     23.745         237.992    783.517
mNor                              324.275     31.602         203.157    591.511
mAch                              466.913    227.741         243.824    711.390
