Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              92.901     -0.074         103.956    259.121
N                                 101.805     45.974          76.529    203.138
M                                 136.977    -19.150         106.589    286.723
k1                                228.347    -12.527         135.149    396.623
k2                                 99.765     28.023          75.126    200.126
tau1                               47.411      0.925          50.310    132.113
tau2                              176.861     23.328         114.130    323.958
tauAch                            213.522     85.658         109.002    322.365
tauNor                            209.851    -40.517         102.003    320.374
beta                              175.501    101.985         123.939    311.038
h0                                341.637     21.250         148.075    489.225
mNor                              200.929     17.150         125.764    354.762
mAch                              280.185    133.255         143.404    425.796
