Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             103.045      4.573         108.990    277.124
N                                 160.248     11.834         120.896    325.713
M                                 150.747    -25.815         111.869    313.106
k1                                240.085    -10.233         144.621    416.257
k2                                105.573     29.165          79.162    207.719
tau1                               49.890     -0.565          54.766    137.137
tau2                              186.757     23.629         124.193    341.826
tauAch                            230.109     93.161         119.399    350.578
tauNor                            241.628    -32.937         109.796    355.796
beta                              194.408    115.252         127.663    338.528
h0                                384.018     35.605         161.971    537.388
mNor                              217.373     17.209         131.610    372.784
mAch                              296.743    142.636         152.177    447.174
