Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             141.161     -4.549         156.865    405.141
N                                 140.659     79.860         121.914    307.226
M                                 214.075    -26.569         165.624    448.093
k1                                366.159    -23.396         213.054    635.537
k2                                159.731     44.350         122.054    325.991
tau1                               74.684      1.648          86.607    212.794
tau2                              282.822     38.260         187.546    518.295
tauAch                            338.200    134.878         169.722    508.842
tauNor                            324.599    -66.752         162.899    500.278
beta                              273.077    156.991         179.086    488.702
h0                                531.423     27.052         236.049    765.894
mNor                              315.229     28.153         198.108    568.415
mAch                              448.386    216.199         237.844    681.993
