Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              34.485      0.879          38.300     95.588
N                                  40.807     16.068          29.856     79.728
M                                  52.764     -5.428          40.011    108.815
k1                                 86.245     -4.314          52.031    148.354
k2                                 40.788      7.743          27.535     78.304
tau1                               17.564     -0.685          19.676     49.155
tau2                               67.783      9.439          43.488    121.149
tauAch                             87.016     33.713          43.232    128.951
tauNor                             80.969    -16.356          39.187    123.295
beta                               68.327     40.450          45.065    120.212
h0                                134.067      6.986          56.101    191.103
mNor                               76.226      5.030          48.047    134.354
mAch                              106.930     49.178          53.549    161.202
