Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.306    -13.613         173.801    438.666
N                                 141.877     95.273         128.275    310.986
M                                 223.220    -28.636         179.634    464.373
k1                                383.868    -26.086         244.270    675.671
k2                                166.887     51.675         129.304    332.424
tau1                               81.068      4.319          87.827    217.845
tau2                              297.152     38.655         190.045    541.896
tauAch                            343.835    132.862         174.289    512.669
tauNor                            326.285    -64.503         164.574    511.423
beta                              276.659    156.614         187.052    500.817
h0                                543.836     20.867         236.118    780.817
mNor                              328.134     33.158         217.483    593.786
mAch                              474.345    228.954         258.109    717.624
