Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             124.155      3.432         129.465    338.965
N                                 150.436     56.207         107.324    278.561
M                                 179.401    -32.477         152.154    383.262
k1                                282.797    -11.774         181.600    503.167
k2                                125.366     40.255          89.403    244.037
tau1                               58.398     -1.565          63.693    159.762
tau2                              219.633     24.700         150.998    411.394
tauAch                            269.135    107.932         131.605    415.179
tauNor                            279.038    -52.341         135.880    424.337
beta                              227.804    134.525         150.825    401.747
h0                                448.898     28.200         190.805    643.459
mNor                              267.967     19.523         152.417    444.522
mAch                              355.165    155.545         177.148    542.392
