Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.827     -5.393         176.845    441.127
N                                 154.038     90.155         126.937    325.496
M                                 229.037    -28.344         176.770    476.278
k1                                390.696    -22.794         240.098    680.661
k2                                168.599     46.961         125.964    337.888
tau1                               82.035     -0.016          88.072    220.371
tau2                              299.463     38.758         198.550    548.700
tauAch                            357.261    143.732         182.244    537.307
tauNor                            344.993    -68.336         178.805    532.018
beta                              288.250    166.608         197.031    517.283
h0                                565.535     22.736         238.201    811.278
mNor                              333.554     29.587         214.552    600.788
mAch                              477.387    228.270         245.286    724.190
