Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.354     -9.836         176.450    438.366
N                                 142.082     93.366         125.128    316.633
M                                 225.000    -28.078         173.087    469.154
k1                                386.675    -24.768         228.609    677.966
k2                                166.613     49.056         129.606    335.837
tau1                               81.173      1.999          89.875    219.003
tau2                              297.503     38.965         178.740    545.348
tauAch                            349.866    138.194         173.473    525.166
tauNor                            334.713    -66.685         167.631    520.820
beta                              281.355    161.013         191.718    508.361
h0                                553.162     20.680         241.424    794.892
mNor                              329.000     31.482         205.473    597.256
mAch                              475.210    229.123         246.142    721.092
