Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.506     -9.845         174.002    433.150
N                                 140.848     90.913         122.866    315.912
M                                 223.594    -27.979         169.912    467.311
k1                                384.447    -25.710         238.095    673.526
k2                                165.578     49.156         125.055    336.796
tau1                               79.908      2.301          85.238    219.306
tau2                              295.753     39.442         195.474    543.907
tauAch                            348.444    137.314         180.470    524.294
tauNor                            333.330    -67.244         168.399    518.699
beta                              281.014    160.682         186.744    506.872
h0                                551.534     22.064         232.715    793.166
mNor                              328.107     31.597         204.063    595.806
mAch                              472.908    228.743         249.751    718.498
