Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             120.275     -4.296         136.704    345.986
N                                 119.509     68.266         106.830    261.384
M                                 182.116    -22.812         146.744    381.748
k1                                311.604    -20.018         191.421    541.502
k2                                135.630     38.175         103.088    277.094
tau1                               63.734      1.709          70.457    181.042
tau2                              240.326     32.593         153.760    441.342
tauAch                            287.026    114.286         146.391    432.321
tauNor                            275.778    -56.522         144.997    425.562
beta                              232.303    133.490         158.568    415.936
h0                                452.359     23.145         194.849    651.613
mNor                              268.463     24.238         161.351    484.153
mAch                              382.144    184.282         199.515    581.048
