Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.489     -5.120         150.042    384.666
N                                 132.571     75.936         113.675    289.944
M                                 202.192    -25.094         163.649    423.720
k1                                345.612    -22.152         213.395    601.053
k2                                150.755     42.227         113.324    307.564
tau1                               70.914      2.164          78.532    200.787
tau2                              266.384     36.243         175.584    489.358
tauAch                            318.431    126.501         162.839    479.419
tauNor                            305.441    -62.532         154.732    471.793
beta                              257.652    148.146         175.967    461.604
h0                                502.240     25.699         217.886    722.936
mNor                              297.869     26.867         185.720    537.446
mAch                              424.637    204.394         227.014    645.058
