Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.807     -6.663         142.193    354.188
N                                 123.963     67.756         101.709    264.482
M                                 183.249    -26.457         145.259    385.668
k1                                310.970    -20.495         181.787    545.890
k2                                133.906     42.397         103.373    273.523
tau1                               64.279      3.752          71.208    180.404
tau2                              241.086     32.339         161.346    444.408
tauAch                            283.078    110.997         145.898    427.159
tauNor                            275.601    -53.845         136.023    426.461
beta                              232.432    132.738         159.161    416.341
h0                                454.157     25.480         195.761    651.438
mNor                              270.609     26.884         170.071    485.983
mAch                              383.748    186.698         207.153    584.892
