Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             101.213     -4.357         117.788    292.826
N                                 103.403     56.536          82.863    221.258
M                                 153.020    -20.903         125.279    321.732
k1                                259.404    -16.718         156.471    453.620
k2                                112.173     33.364          83.513    229.532
tau1                               53.239      1.977          59.906    150.174
tau2                              200.218     27.329         129.986    369.794
tauAch                            238.771     94.119         120.812    361.037
tauNor                            231.218    -46.191         112.532    357.473
beta                              194.883    111.973         136.224    348.667
h0                                381.265     20.350         164.449    547.143
mNor                              225.369     21.308         144.897    404.801
mAch                              319.982    154.688         162.747    487.023
