Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.803     -8.932         175.881    424.722
N                                 139.048     87.243         120.659    314.053
M                                 220.454    -28.413         171.257    463.135
k1                                379.386    -26.041         227.441    663.912
k2                                163.194     49.244         121.977    336.128
tau1                               77.901      3.102          85.162    219.711
tau2                              292.132     39.698         194.299    539.304
tauAch                            344.297    136.065         164.958    519.803
tauNor                            330.786    -67.444         160.082    514.004
beta                              279.184    159.516         191.316    502.892
h0                                545.795     25.413         234.276    786.498
mNor                              325.112     31.548         201.472    590.844
mAch                              466.555    226.955         247.517    710.585
