Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             129.323    -35.275         155.236    375.014
N                                 134.450     90.227          88.685    233.954
M                                 170.149    -25.204         128.097    346.452
k1                                270.509    -22.170         188.946    522.178
k2                                139.665     52.696          86.811    240.222
tau1                               64.350     28.752          66.251    171.075
tau2                              226.155     25.140         139.999    398.910
tauAch                            226.106     65.009         106.951    330.254
tauNor                            227.996    -29.741         118.075    356.366
beta                              194.908     95.445         133.860    355.159
h0                                369.642     37.032         160.952    537.190
mNor                              272.112     30.941         155.086    453.872
mAch                              376.300    163.997         180.234    548.703
