Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.148    -10.308         164.992    424.130
N                                 135.189     89.584         127.346    310.862
M                                 219.585    -27.771         171.324    460.475
k1                                380.935    -27.011         237.745    666.007
k2                                163.897     49.959         123.980    336.647
tau1                               78.043      3.168          86.910    219.891
tau2                              293.680     39.460         193.343    540.317
tauAch                            343.012    135.348         171.971    516.794
tauNor                            327.865    -67.528         168.901    510.882
beta                              277.053    157.522         186.476    500.502
h0                                541.475     23.094         239.010    781.399
mNor                              324.217     32.110         205.457    591.593
mAch                              467.157    228.102         244.675    711.704
