Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.216     -3.363         182.059    447.934
N                                 201.174     57.176         148.235    392.501
M                                 234.202    -34.409         177.763    484.641
k1                                389.132    -21.114         230.850    680.469
k2                                168.268     48.850         122.206    331.990
tau1                               82.232     -0.223          89.861    216.940
tau2                              299.245     37.498         192.916    549.011
tauAch                            358.091    143.763         179.148    538.916
tauNor                            360.903    -56.884         168.316    542.982
beta                              294.194    171.585         192.688    522.492
h0                                583.485     33.761         232.279    822.452
mNor                              338.029     30.031         215.495    599.594
mAch                              471.746    231.735         251.544    722.153
