Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.450     -8.151         181.764    435.646
N                                 142.615     92.450         124.011    318.213
M                                 225.368    -27.618         171.452    469.960
k1                                388.847    -24.604         225.573    678.653
k2                                166.737     48.017         123.467    338.505
tau1                               80.983      0.761          86.899    220.589
tau2                              297.990     39.031         189.797    547.427
tauAch                            352.461    140.813         178.739    530.183
tauNor                            337.972    -68.242         161.989    523.895
beta                              282.985    162.182         202.828    510.536
h0                                555.065     20.712         235.291    799.147
mNor                              329.510     30.841         207.016    598.499
mAch                              475.034    229.452         249.215    721.920
