Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             151.557     -6.820         168.289    438.265
N                                 147.866     91.522         131.219    321.440
M                                 227.269    -27.642         173.814    472.948
k1                                390.014    -23.669         227.849    679.811
k2                                167.794     47.218         125.993    338.530
tau1                               81.704      0.333          86.757    220.644
tau2                              298.695     38.940         201.402    547.974
tauAch                            354.961    142.354         179.151    533.907
tauNor                            341.304    -68.411         171.296    527.670
beta                              285.590    164.390         193.117    513.865
h0                                560.140     21.586         245.450    805.000
mNor                              331.511     30.121         218.645    599.785
mAch                              476.485    228.938         243.270    723.089
