Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.501    -13.370         173.702    436.393
N                                 141.490     95.517         122.909    310.519
M                                 222.784    -29.024         173.619    463.193
k1                                385.214    -26.716         232.944    675.976
k2                                166.707     52.175         122.745    332.673
tau1                               80.184      3.453          83.740    217.550
tau2                              297.966     38.775         196.553    543.541
tauAch                            345.064    133.565         176.074    514.025
tauNor                            327.029    -65.132         160.149    512.255
beta                              276.455    156.082         181.153    500.454
h0                                543.440     18.877         237.472    780.997
mNor                              327.931     33.699         210.934    593.997
mAch                              473.527    230.193         250.101    718.066
