Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             145.802     -8.328         167.012    425.964
N                                 139.349     87.919         125.580    314.755
M                                 221.391    -27.893         173.131    464.169
k1                                381.738    -25.697         229.575    666.532
k2                                163.972     48.684         126.162    337.511
tau1                               78.551      2.673          90.499    220.637
tau2                              293.378     39.532         186.406    540.947
tauAch                            345.948    137.551         173.401    522.189
tauNor                            332.443    -68.003         170.498    515.875
beta                              280.056    160.136         190.731    504.677
h0                                547.106     24.854         241.149    788.942
mNor                              326.023     31.150         216.910    592.724
mAch                              468.205    227.302         246.623    712.666
