Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             105.230    -15.743         127.907    311.128
N                                 102.016     67.911          86.589    215.067
M                                 156.151    -20.756         122.165    323.919
k1                                266.698    -21.083         167.483    475.553
k2                                120.329     40.425          83.367    235.264
tau1                               56.694      8.864          61.171    155.153
tau2                              208.624     27.976         133.693    379.720
tauAch                            235.187     85.388         111.585    347.461
tauNor                            218.444    -42.909         113.325    349.814
beta                              190.954    105.591         132.878    347.217
h0                                374.267     18.372         160.532    537.173
mNor                              233.851     25.576         152.776    420.720
mAch                              338.628    162.633         173.117    507.566
